t/s,UL1-N [V],UL2-N [V],UL3-N [V],UL1-L2 [V],UL2-L3 [V],UL3-L1 [V],I1 [A],I2 [A],I3 [A],IN [A],S1 [VA],S2 [VA],S3 [VA],P1 [W],P2 [W],P3 [W],Q1 [var],Q2 [var],Q3 [var],cos (phi)1,cos (phi)2,cos (phi)3,UTHD1 [%],UTHD2 [%],UTHD3 [%],f [Hz], [V], [V]2, [A],Tot S [VA],Tot P [W],Tot Q [var],cos(phi),Label
5.032,114.516,117.112,115.423,200.712,202.32,198.075,3.32312,3.38838,2.98873,0.26549,380.551,396.821,344.968,-134.066,-152.794,-128.504,255.859,272.472,229.96,0.352296,0.385045,0.372511,2.43361,2.12023,1.86251,59.976,115.684,200.369,3.23341,1122.34,-415.365,758.291,0.370088,4
5.047,114.516,117.112,115.423,200.712,202.32,198.075,3.32312,3.38838,2.98873,0.26549,380.551,396.821,344.968,-134.066,-152.794,-128.504,255.859,272.472,229.96,0.352296,0.385045,0.372511,2.43361,2.12023,1.86251,59.976,115.684,200.369,3.23341,1122.34,-415.365,758.291,0.370088,4
5.063,114.516,117.112,115.423,200.712,202.32,198.075,3.32312,3.38838,2.98873,0.26549,380.551,396.821,344.968,-134.066,-152.794,-128.504,255.859,272.472,229.96,0.352296,0.385045,0.372511,2.43361,2.12023,1.86251,59.976,115.684,200.369,3.23341,1122.34,-415.365,758.291,0.370088,4
5.094,114.516,117.112,115.423,200.712,202.32,198.075,3.32312,3.38838,2.98873,0.26549,380.551,396.821,344.968,-134.066,-152.794,-128.504,255.859,272.472,229.96,0.352296,0.385045,0.372511,2.43361,2.12023,1.86251,59.976,115.684,200.369,3.23341,1122.34,-415.365,758.291,0.370088,4
5.11,114.516,117.112,115.423,200.712,202.32,198.075,3.32312,3.38838,2.98873,0.26549,380.551,396.821,344.968,-134.066,-152.794,-128.504,255.859,272.472,229.96,0.352296,0.385045,0.372511,2.43361,2.12023,1.86251,59.976,115.684,200.369,3.23341,1122.34,-415.365,758.291,0.370088,4
5.125,114.516,117.112,115.423,200.712,202.32,198.075,3.32312,3.38838,2.98873,0.26549,380.551,396.821,344.968,-134.066,-152.794,-128.504,255.859,272.472,229.96,0.352296,0.385045,0.372511,2.43361,2.12023,1.86251,59.976,115.684,200.369,3.23341,1122.34,-415.365,758.291,0.370088,4
5.141,114.516,117.112,115.423,200.712,202.32,198.075,3.32312,3.38838,2.98873,0.26549,380.551,396.821,344.968,-134.066,-152.794,-128.504,255.859,272.472,229.96,0.352296,0.385045,0.372511,2.43361,2.12023,1.86251,59.976,115.684,200.369,3.23341,1122.34,-415.365,758.291,0.370088,4
5.172,114.516,117.112,115.423,200.712,202.32,198.075,3.32312,3.38838,2.98873,0.26549,380.551,396.821,344.968,-134.066,-152.794,-128.504,255.859,272.472,229.96,0.352296,0.385045,0.372511,2.43361,2.12023,1.86251,59.976,115.684,200.369,3.23341,1122.34,-415.365,758.291,0.370088,4
5.188,114.516,117.112,115.423,200.712,202.32,198.075,3.32312,3.38838,2.98873,0.26549,380.551,396.821,344.968,-134.066,-152.794,-128.504,255.859,272.472,229.96,0.352296,0.385045,0.372511,2.43361,2.12023,1.86251,59.976,115.684,200.369,3.23341,1122.34,-415.365,758.291,0.370088,4
5.203,114.516,117.112,115.423,200.712,202.32,198.075,3.32312,3.38838,2.98873,0.26549,380.551,396.821,344.968,-134.066,-152.794,-128.504,255.859,272.472,229.96,0.352296,0.385045,0.372511,2.43361,2.12023,1.86251,59.976,115.684,200.369,3.23341,1122.34,-415.365,758.291,0.370088,4
5.235,110.053,112.162,111.511,192.026,194.74,191.26,4.03202,4.26923,3.83318,0.267571,443.737,478.846,427.441,-112.974,-135.337,-124.005,427.133,457.582,407.275,0.254597,0.282631,0.29011,2.36952,2.26597,2.14038,59.976,111.242,192.675,4.04481,1350.02,-372.316,1291.99,0.275785,4
5.25,110.053,112.162,111.511,192.026,194.74,191.26,4.03202,4.26923,3.83318,0.267571,443.737,478.846,427.441,-112.974,-135.337,-124.005,427.133,457.582,407.275,0.254597,0.282631,0.29011,2.36952,2.26597,2.14038,59.976,111.242,192.675,4.04481,1350.02,-372.316,1291.99,0.275785,4
