t/s,UL1-N [V],UL2-N [V],UL3-N [V],UL1-L2 [V],UL2-L3 [V],UL3-L1 [V],I1 [A],I2 [A],I3 [A],IN [A],S1 [VA],S2 [VA],S3 [VA],P1 [W],P2 [W],P3 [W],Q1 [var],Q2 [var],Q3 [var],cos ?1,cos ?2,cos ?3,UTHD1 [%],UTHD2 [%],UTHD3 [%],f [Hz],[V],[V],[A],?S [VA],?P [W],?Q [var],cos ?,Label
0,119.23,120.486,118.581,208.204,207.175,205.205,1.0727,0.944659,0.766855,0.243381,127.898,113.819,90.9345,-116.104,-104.638,-82.3399,47.154,36.1994,31.5972,0.907789,0.919344,0.905487,1.9157,2.07013,1.73056,60.0312,119.433,206.861,0.92807,332.651,-303.083,114.951,0.911113,0
0.032,119.23,120.486,118.581,208.204,207.175,205.205,1.0727,0.944659,0.766855,0.243381,127.898,113.819,90.9345,-116.104,-104.638,-82.3399,47.154,36.1994,31.5972,0.907789,0.919344,0.905487,1.9157,2.07013,1.73056,60.0312,119.433,206.861,0.92807,332.651,-303.083,114.951,0.911113,0
0.047,119.23,120.486,118.581,208.204,207.175,205.205,1.0727,0.944659,0.766855,0.243381,127.898,113.819,90.9345,-116.104,-104.638,-82.3399,47.154,36.1994,31.5972,0.907789,0.919344,0.905487,1.9157,2.07013,1.73056,60.0312,119.433,206.861,0.92807,332.651,-303.083,114.951,0.911113,0
0.063,119.23,120.486,118.581,208.204,207.175,205.205,1.0727,0.944659,0.766855,0.243381,127.898,113.819,90.9345,-116.104,-104.638,-82.3399,47.154,36.1994,31.5972,0.907789,0.919344,0.905487,1.9157,2.07013,1.73056,60.0312,119.433,206.861,0.92807,332.651,-303.083,114.951,0.911113,0
0.094,119.23,120.486,118.581,208.204,207.175,205.205,1.0727,0.944659,0.766855,0.243381,127.898,113.819,90.9345,-116.104,-104.638,-82.3399,47.154,36.1994,31.5972,0.907789,0.919344,0.905487,1.9157,2.07013,1.73056,60.0312,119.433,206.861,0.92807,332.651,-303.083,114.951,0.911113,0
0.11,119.23,120.486,118.581,208.204,207.175,205.205,1.0727,0.944659,0.766855,0.243381,127.898,113.819,90.9345,-116.104,-104.638,-82.3399,47.154,36.1994,31.5972,0.907789,0.919344,0.905487,1.9157,2.07013,1.73056,60.0312,119.433,206.861,0.92807,332.651,-303.083,114.951,0.911113,0
0.125,119.23,120.486,118.581,208.204,207.175,205.205,1.0727,0.944659,0.766855,0.243381,127.898,113.819,90.9345,-116.104,-104.638,-82.3399,47.154,36.1994,31.5972,0.907789,0.919344,0.905487,1.9157,2.07013,1.73056,60.0312,119.433,206.861,0.92807,332.651,-303.083,114.951,0.911113,0
0.141,119.23,120.486,118.581,208.204,207.175,205.205,1.0727,0.944659,0.766855,0.243381,127.898,113.819,90.9345,-116.104,-104.638,-82.3399,47.154,36.1994,31.5972,0.907789,0.919344,0.905487,1.9157,2.07013,1.73056,60.0312,119.433,206.861,0.92807,332.651,-303.083,114.951,0.911113,0
0.172,119.213,120.514,118.616,208.22,207.238,205.204,1.06761,0.942556,0.762615,0.243049,127.272,113.591,90.458,-115.809,-104.732,-82.2057,46.2168,35.2683,30.4914,0.909931,0.922011,0.908772,1.88871,2.07844,1.71868,60.0312,119.447,206.887,0.924259,331.321,-302.747,111.976,0.913756,0
0.188,119.213,120.514,118.616,208.22,207.238,205.204,1.06761,0.942556,0.762615,0.243049,127.272,113.591,90.458,-115.809,-104.732,-82.2057,46.2168,35.2683,30.4914,0.909931,0.922011,0.908772,1.88871,2.07844,1.71868,60.0312,119.447,206.887,0.924259,331.321,-302.747,111.976,0.913756,0
