t/s,UL1-N [V],UL2-N [V],UL3-N [V],UL1-L2 [V],UL2-L3 [V],UL3-L1 [V],I1 [A],I2 [A],I3 [A],IN [A],S1 [VA],S2 [VA],S3 [VA],P1 [W],P2 [W],P3 [W],Q1 [var],Q2 [var],Q3 [var],cos ?1,cos ?2,cos ?3,UTHD1 [%],UTHD2 [%],UTHD3 [%],f [Hz], [V], [V]2, [A],?S [VA],?P [W],?Q [var],cos ?,Label
0,120.035,121.335,119.89,209.293,209.224,207.2,1.35092,1.23992,1.14063,0.271915,162.158,150.446,136.75,-153.595,-140.668,-130.706,42.4253,42.9316,29.6477,0.947189,0.935007,0.955799,1.70578,1.71308,1.43449,59.9824,120.42,208.572,1.24382,449.354,-424.968,115.005,0.945731,0
0.031,120.051,121.341,119.845,209.34,209.171,207.164,1.34805,1.2277,1.13277,0.273043,161.835,148.97,135.756,-153.767,-139.814,-129.738,41.3318,41.383,29.0351,0.950144,0.938541,0.955665,1.67738,1.74305,1.49737,59.9824,120.412,208.558,1.23617,446.562,-423.319,111.75,0.947952,0
0.047,120.051,121.341,119.845,209.34,209.171,207.164,1.34805,1.2277,1.13277,0.273043,161.835,148.97,135.756,-153.767,-139.814,-129.738,41.3318,41.383,29.0351,0.950144,0.938541,0.955665,1.67738,1.74305,1.49737,59.9824,120.412,208.558,1.23617,446.562,-423.319,111.75,0.947952,0
0.062,120.051,121.341,119.845,209.34,209.171,207.164,1.34805,1.2277,1.13277,0.273043,161.835,148.97,135.756,-153.767,-139.814,-129.738,41.3318,41.383,29.0351,0.950144,0.938541,0.955665,1.67738,1.74305,1.49737,59.9824,120.412,208.558,1.23617,446.562,-423.319,111.75,0.947952,0
0.094,120.051,121.341,119.845,209.34,209.171,207.164,1.34805,1.2277,1.13277,0.273043,161.835,148.97,135.756,-153.767,-139.814,-129.738,41.3318,41.383,29.0351,0.950144,0.938541,0.955665,1.67738,1.74305,1.49737,59.9824,120.412,208.558,1.23617,446.562,-423.319,111.75,0.947952,0
0.109,120.051,121.341,119.845,209.34,209.171,207.164,1.34805,1.2277,1.13277,0.273043,161.835,148.97,135.756,-153.767,-139.814,-129.738,41.3318,41.383,29.0351,0.950144,0.938541,0.955665,1.67738,1.74305,1.49737,59.9824,120.412,208.558,1.23617,446.562,-423.319,111.75,0.947952,0
0.125,120.051,121.341,119.845,209.34,209.171,207.164,1.34805,1.2277,1.13277,0.273043,161.835,148.97,135.756,-153.767,-139.814,-129.738,41.3318,41.383,29.0351,0.950144,0.938541,0.955665,1.67738,1.74305,1.49737,59.9824,120.412,208.558,1.23617,446.562,-423.319,111.75,0.947952,0
0.141,120.051,121.341,119.845,209.34,209.171,207.164,1.34805,1.2277,1.13277,0.273043,161.835,148.97,135.756,-153.767,-139.814,-129.738,41.3318,41.383,29.0351,0.950144,0.938541,0.955665,1.67738,1.74305,1.49737,59.9824,120.412,208.558,1.23617,446.562,-423.319,111.75,0.947952,0
0.172,120.051,121.341,119.845,209.34,209.171,207.164,1.34805,1.2277,1.13277,0.273043,161.835,148.97,135.756,-153.767,-139.814,-129.738,41.3318,41.383,29.0351,0.950144,0.938541,0.955665,1.67738,1.74305,1.49737,59.9824,120.412,208.558,1.23617,446.562,-423.319,111.75,0.947952,0
0.187,120.051,121.341,119.845,209.34,209.171,207.164,1.34805,1.2277,1.13277,0.273043,161.835,148.97,135.756,-153.767,-139.814,-129.738,41.3318,41.383,29.0351,0.950144,0.938541,0.955665,1.67738,1.74305,1.49737,59.9824,120.412,208.558,1.23617,446.562,-423.319,111.75,0.947952,0
0.203,120.051,121.341,119.845,209.34,209.171,207.164,1.34805,1.2277,1.13277,0.273043,161.835,148.97,135.756,-153.767,-139.814,-129.738,41.3318,41.383,29.0351,0.950144,0.938541,0.955665,1.67738,1.74305,1.49737,59.9824,120.412,208.558,1.23617,446.562,-423.319,111.75,0.947952,0
0.234,119.922,121.302,119.789,209.199,209.125,206.964,1.33569,1.22727,1.12728,0.265912,160.179,148.869,135.036,-151.653,-139.653,-129.043,41.8683,42.0567,28.956,0.946773,0.938093,0.955616,1.58951,1.74294,1.52787,59.9824,120.338,208.429,1.23008,444.085,-420.349,112.881,0.946552,0
0.25,119.922,121.302,119.789,209.199,209.125,206.964,1.33569,1.22727,1.12728,0.265912,160.179,148.869,135.036,-151.653,-139.653,-129.043,41.8683,42.0567,28.956,0.946773,0.938093,0.955616,1.58951,1.74294,1.52787,59.9824,120.338,208.429,1.23008,444.085,-420.349,112.881,0.946552,0
0.266,119.922,121.302,119.789,209.199,209.125,206.964,1.33569,1.22727,1.12728,0.265912,160.179,148.869,135.036,-151.653,-139.653,-129.043,41.8683,42.0567,28.956,0.946773,0.938093,0.955616,1.58951,1.74294,1.52787,59.9824,120.338,208.429,1.23008,444.085,-420.349,112.881,0.946552,0
0.281,119.922,121.302,119.789,209.199,209.125,206.964,1.33569,1.22727,1.12728,0.265912,160.179,148.869,135.036,-151.653,-139.653,-129.043,41.8683,42.0567,28.956,0.946773,0.938093,0.955616,1.58951,1.74294,1.52787,59.9824,120.338,208.429,1.23008,444.085,-420.349,112.881,0.946552,0
0.312,119.922,121.302,119.789,209.199,209.125,206.964,1.33569,1.22727,1.12728,0.265912,160.179,148.869,135.036,-151.653,-139.653,-129.043,41.8683,42.0567,28.956,0.946773,0.938093,0.955616,1.58951,1.74294,1.52787,59.9824,120.338,208.429,1.23008,444.085,-420.349,112.881,0.946552,0
0.328,119.922,121.302,119.789,209.199,209.125,206.964,1.33569,1.22727,1.12728,0.265912,160.179,148.869,135.036,-151.653,-139.653,-129.043,41.8683,42.0567,28.956,0.946773,0.938093,0.955616,1.58951,1.74294,1.52787,59.9824,120.338,208.429,1.23008,444.085,-420.349,112.881,0.946552,0
0.344,119.922,121.302,119.789,209.199,209.125,206.964,1.33569,1.22727,1.12728,0.265912,160.179,148.869,135.036,-151.653,-139.653,-129.043,41.8683,42.0567,28.956,0.946773,0.938093,0.955616,1.58951,1.74294,1.52787,59.9824,120.338,208.429,1.23008,444.085,-420.349,112.881,0.946552,0
0.375,119.922,121.302,119.789,209.199,209.125,206.964,1.33569,1.22727,1.12728,0.265912,160.179,148.869,135.036,-151.653,-139.653,-129.043,41.8683,42.0567,28.956,0.946773,0.938093,0.955616,1.58951,1.74294,1.52787,59.9824,120.338,208.429,1.23008,444.085,-420.349,112.881,0.946552,0
0.391,119.922,121.302,119.789,209.199,209.125,206.964,1.33569,1.22727,1.12728,0.265912,160.179,148.869,135.036,-151.653,-139.653,-129.043,41.8683,42.0567,28.956,0.946773,0.938093,0.955616,1.58951,1.74294,1.52787,59.9824,120.338,208.429,1.23008,444.085,-420.349,112.881,0.946552,0
0.406,119.922,121.302,119.789,209.199,209.125,206.964,1.33569,1.22727,1.12728,0.265912,160.179,148.869,135.036,-151.653,-139.653,-129.043,41.8683,42.0567,28.956,0.946773,0.938093,0.955616,1.58951,1.74294,1.52787,59.9824,120.338,208.429,1.23008,444.085,-420.349,112.881,0.946552,0
0.422,119.992,121.336,119.859,209.273,209.213,207.101,1.34782,1.23444,1.13918,0.265912,161.727,149.781,136.541,-153.323,-140.359,-130.542,41.7981,42.4546,29.5697,0.948033,0.937095,0.956069,1.61505,1.76493,1.42549,59.9824,120.395,208.529,1.24048,448.049,-424.225,113.822,0.946825,0
0.453,119.992,121.336,119.859,209.273,209.213,207.101,1.34782,1.23444,1.13918,0.269375,161.727,149.781,136.541,-153.323,-140.359,-130.542,41.7981,42.4546,29.5697,0.948033,0.937095,0.956069,1.61505,1.76493,1.42549,59.9824,120.395,208.529,1.24048,448.049,-424.225,113.822,0.946825,0
0.469,119.992,121.336,119.859,209.273,209.213,207.101,1.34782,1.23444,1.13918,0.269375,161.727,149.781,136.541,-153.323,-140.359,-130.542,41.7981,42.4546,29.5697,0.948033,0.937095,0.956069,1.61505,1.76493,1.42549,59.9824,120.395,208.529,1.24048,448.049,-424.225,113.822,0.946825,0
0.484,119.992,121.336,119.859,209.273,209.213,207.101,1.34782,1.23444,1.13918,0.269375,161.727,149.781,136.541,-153.323,-140.359,-130.542,41.7981,42.4546,29.5697,0.948033,0.937095,0.956069,1.61505,1.76493,1.42549,59.9824,120.395,208.529,1.24048,448.049,-424.225,113.822,0.946825,0
0.516,119.992,121.336,119.859,209.273,209.213,207.101,1.34782,1.23444,1.13918,0.269375,161.727,149.781,136.541,-153.323,-140.359,-130.542,41.7981,42.4546,29.5697,0.948033,0.937095,0.956069,1.61505,1.76493,1.42549,59.9824,120.395,208.529,1.24048,448.049,-424.225,113.822,0.946825,0
0.531,119.992,121.336,119.859,209.273,209.213,207.101,1.34782,1.23444,1.13918,0.269375,161.727,149.781,136.541,-153.323,-140.359,-130.542,41.7981,42.4546,29.5697,0.948033,0.937095,0.956069,1.61505,1.76493,1.42549,59.9824,120.395,208.529,1.24048,448.049,-424.225,113.822,0.946825,0
0.547,119.992,121.336,119.859,209.273,209.213,207.101,1.34782,1.23444,1.13918,0.269375,161.727,149.781,136.541,-153.323,-140.359,-130.542,41.7981,42.4546,29.5697,0.948033,0.937095,0.956069,1.61505,1.76493,1.42549,59.9824,120.395,208.529,1.24048,448.049,-424.225,113.822,0.946825,0
0.562,119.992,121.336,119.859,209.273,209.213,207.101,1.34782,1.23444,1.13918,0.269375,161.727,149.781,136.541,-153.323,-140.359,-130.542,41.7981,42.4546,29.5697,0.948033,0.937095,0.956069,1.61505,1.76493,1.42549,59.9824,120.395,208.529,1.24048,448.049,-424.225,113.822,0.946825,0
0.594,119.992,121.336,119.859,209.273,209.213,207.101,1.34782,1.23444,1.13918,0.269375,161.727,149.781,136.541,-153.323,-140.359,-130.542,41.7981,42.4546,29.5697,0.948033,0.937095,0.956069,1.61505,1.76493,1.42549,59.9824,120.395,208.529,1.24048,448.049,-424.225,113.822,0.946825,0
0.609,119.992,121.336,119.859,209.273,209.213,207.101,1.34782,1.23444,1.13918,0.269375,161.727,149.781,136.541,-153.323,-140.359,-130.542,41.7981,42.4546,29.5697,0.948033,0.937095,0.956069,1.61505,1.76493,1.42549,59.9824,120.395,208.529,1.24048,448.049,-424.225,113.822,0.946825,0
