t/s,UL1-N [V],UL2-N [V],UL3-N [V],UL1-L2 [V],UL2-L3 [V],UL3-L1 [V],I1 [A],I2 [A],I3 [A],IN [A],S1 [VA],S2 [VA],S3 [VA],P1 [W],P2 [W],P3 [W],Q1 [var],Q2 [var],Q3 [var],cos ?1,cos ?2,cos ?3,UTHD1 [%],UTHD2 [%],UTHD3 [%],f [Hz], [V], [V]2, [A],?S [VA],?P [W],?Q [var],cos ?,Label
0,119.754,120.791,119.474,208.703,208.268,206.591,0.653212,0.619086,0.519062,0.207746,78.2245,74.7797,62.0142,-37.7236,-27.9605,-19.6859,65.11,66.5331,55.8717,0.482248,0.373905,0.317443,3.04376,2.79763,2.3829,59.9704,120.006,207.854,0.59712,215.018,-85.37,187.515,0.397036,0
0.031,119.754,120.791,119.474,208.703,208.268,206.591,0.653212,0.619086,0.519062,0.207746,78.2245,74.7797,62.0142,-37.7236,-27.9605,-19.6859,65.11,66.5331,55.8717,0.482248,0.373905,0.317443,3.04376,2.79763,2.3829,59.9704,120.006,207.854,0.59712,215.018,-85.37,187.515,0.397036,0
0.047,119.754,120.791,119.474,208.703,208.268,206.591,0.653212,0.619086,0.519062,0.207746,78.2245,74.7797,62.0142,-37.7236,-27.9605,-19.6859,65.11,66.5331,55.8717,0.482248,0.373905,0.317443,3.04376,2.79763,2.3829,59.9704,120.006,207.854,0.59712,215.018,-85.37,187.515,0.397036,0
0.062,119.754,120.791,119.474,208.703,208.268,206.591,0.653212,0.619086,0.519062,0.207746,78.2245,74.7797,62.0142,-37.7236,-27.9605,-19.6859,65.11,66.5331,55.8717,0.482248,0.373905,0.317443,3.04376,2.79763,2.3829,59.9704,120.006,207.854,0.59712,215.018,-85.37,187.515,0.397036,0
0.093,119.754,120.791,119.474,208.703,208.268,206.591,0.653212,0.619086,0.519062,0.207746,78.2245,74.7797,62.0142,-37.7236,-27.9605,-19.6859,65.11,66.5331,55.8717,0.482248,0.373905,0.317443,3.04376,2.79763,2.3829,59.9704,120.006,207.854,0.59712,215.018,-85.37,187.515,0.397036,0
0.109,119.754,120.791,119.474,208.703,208.268,206.591,0.653212,0.619086,0.519062,0.207746,78.2245,74.7797,62.0142,-37.7236,-27.9605,-19.6859,65.11,66.5331,55.8717,0.482248,0.373905,0.317443,3.04376,2.79763,2.3829,59.9704,120.006,207.854,0.59712,215.018,-85.37,187.515,0.397036,0
0.125,119.758,120.867,119.429,208.819,208.309,206.497,0.661761,0.626999,0.518189,0.208353,79.2512,75.7837,61.8868,-37.8314,-29.1039,-19.0914,66.7618,66.9927,56.0002,0.477361,0.384039,0.308489,3.09866,2.77383,2.46469,59.9704,120.018,207.875,0.602316,216.922,-86.0267,189.755,0.39658,0
0.14,119.758,120.867,119.429,208.819,208.309,206.497,0.661761,0.626999,0.518189,0.208353,79.2512,75.7837,61.8868,-37.8314,-29.1039,-19.0914,66.7618,66.9927,56.0002,0.477361,0.384039,0.308489,3.09866,2.77383,2.46469,59.9704,120.018,207.875,0.602316,216.922,-86.0267,189.755,0.39658,0
0.172,119.758,120.867,119.429,208.819,208.309,206.497,0.661761,0.626999,0.518189,0.208353,79.2512,75.7837,61.8868,-37.8314,-29.1039,-19.0914,66.7618,66.9927,56.0002,0.477361,0.384039,0.308489,3.09866,2.77383,2.46469,59.9704,120.018,207.875,0.602316,216.922,-86.0267,189.755,0.39658,0
0.187,119.758,120.867,119.429,208.819,208.309,206.497,0.661761,0.626999,0.518189,0.208353,79.2512,75.7837,61.8868,-37.8314,-29.1039,-19.0914,66.7618,66.9927,56.0002,0.477361,0.384039,0.308489,3.09866,2.77383,2.46469,59.9704,120.018,207.875,0.602316,216.922,-86.0267,189.755,0.39658,0
0.203,119.758,120.867,119.429,208.819,208.309,206.497,0.661761,0.626999,0.518189,0.208353,79.2512,75.7837,61.8868,-37.8314,-29.1039,-19.0914,66.7618,66.9927,56.0002,0.477361,0.384039,0.308489,3.09866,2.77383,2.46469,59.9704,120.018,207.875,0.602316,216.922,-86.0267,189.755,0.39658,0
0.234,119.758,120.867,119.429,208.819,208.309,206.497,0.661761,0.626999,0.518189,0.208353,79.2512,75.7837,61.8868,-37.8314,-29.1039,-19.0914,66.7618,66.9927,56.0002,0.477361,0.384039,0.308489,3.09866,2.77383,2.46469,59.9704,120.018,207.875,0.602316,216.922,-86.0267,189.755,0.39658,0
0.25,119.758,120.867,119.429,208.819,208.309,206.497,0.661761,0.626999,0.518189,0.208353,79.2512,75.7837,61.8868,-37.8314,-29.1039,-19.0914,66.7618,66.9927,56.0002,0.477361,0.384039,0.308489,3.09866,2.77383,2.46469,59.9704,120.018,207.875,0.602316,216.922,-86.0267,189.755,0.39658,0
0.265,119.758,120.867,119.429,208.819,208.309,206.497,0.661761,0.626999,0.518189,0.208353,79.2512,75.7837,61.8868,-37.8314,-29.1039,-19.0914,66.7618,66.9927,56.0002,0.477361,0.384039,0.308489,3.09866,2.77383,2.46469,59.9704,120.018,207.875,0.602316,216.922,-86.0267,189.755,0.39658,0
0.281,119.758,120.867,119.429,208.819,208.309,206.497,0.661761,0.626999,0.518189,0.208353,79.2512,75.7837,61.8868,-37.8314,-29.1039,-19.0914,66.7618,66.9927,56.0002,0.477361,0.384039,0.308489,3.09866,2.77383,2.46469,59.9704,120.018,207.875,0.602316,216.922,-86.0267,189.755,0.39658,0
0.312,119.758,120.867,119.429,208.819,208.309,206.497,0.661761,0.626999,0.518189,0.208353,79.2512,75.7837,61.8868,-37.8314,-29.1039,-19.0914,66.7618,66.9927,56.0002,0.477361,0.384039,0.308489,3.09866,2.77383,2.46469,59.9704,120.018,207.875,0.602316,216.922,-86.0267,189.755,0.39658,0
0.328,119.808,120.895,119.514,208.836,208.418,206.652,0.665683,0.631211,0.525783,0.209468,79.7541,76.3102,62.8384,-38.8102,-29.9437,-20.3041,66.7383,67.2331,56.0974,0.486623,0.392394,0.323116,3.01615,2.67114,2.42513,59.9704,120.072,207.969,0.607559,218.903,-89.058,190.069,0.406838,0
0.343,119.808,120.895,119.514,208.836,208.418,206.652,0.665683,0.631211,0.525783,0.209468,79.7541,76.3102,62.8384,-38.8102,-29.9437,-20.3041,66.7383,67.2331,56.0974,0.486623,0.392394,0.323116,3.01615,2.67114,2.42513,59.9704,120.072,207.969,0.607559,218.903,-89.058,190.069,0.406838,0
0.375,119.808,120.895,119.514,208.836,208.418,206.652,0.665683,0.631211,0.525783,0.209468,79.7541,76.3102,62.8384,-38.8102,-29.9437,-20.3041,66.7383,67.2331,56.0974,0.486623,0.392394,0.323116,3.01615,2.67114,2.42513,59.9704,120.072,207.969,0.607559,218.903,-89.058,190.069,0.406838,0
0.39,119.808,120.895,119.514,208.836,208.418,206.652,0.665683,0.631211,0.525783,0.209468,79.7541,76.3102,62.8384,-38.8102,-29.9437,-20.3041,66.7383,67.2331,56.0974,0.486623,0.392394,0.323116,3.01615,2.67114,2.42513,59.9704,120.072,207.969,0.607559,218.903,-89.058,190.069,0.406838,0
0.406,119.808,120.895,119.514,208.836,208.418,206.652,0.665683,0.631211,0.525783,0.209468,79.7541,76.3102,62.8384,-38.8102,-29.9437,-20.3041,66.7383,67.2331,56.0974,0.486623,0.392394,0.323116,3.01615,2.67114,2.42513,59.9704,120.072,207.969,0.607559,218.903,-89.058,190.069,0.406838,0
0.422,119.808,120.895,119.514,208.836,208.418,206.652,0.665683,0.631211,0.525783,0.209468,79.7541,76.3102,62.8384,-38.8102,-29.9437,-20.3041,66.7383,67.2331,56.0974,0.486623,0.392394,0.323116,3.01615,2.67114,2.42513,59.9704,120.072,207.969,0.607559,218.903,-89.058,190.069,0.406838,0
0.453,119.808,120.895,119.514,208.836,208.418,206.652,0.665683,0.631211,0.525783,0.209468,79.7541,76.3102,62.8384,-38.8102,-29.9437,-20.3041,66.7383,67.2331,56.0974,0.486623,0.392394,0.323116,3.01615,2.67114,2.42513,59.9704,120.072,207.969,0.607559,218.903,-89.058,190.069,0.406838,0
